True_Label,Predicted_Label,Predicted_Probability,Feature_Credit_Score,Feature_Income,Feature_Race,Feature_Criminal_Record,Feature_Gender,Feature_Disability_Status,Feature_Loan_Amount,Feature_Education_Level_High School,Feature_Language_Proficiency_Limited,Feature_Employment_Type_Part-time,Feature_Citizenship_Status,Feature_Employment_Type_Self-employed,Feature_Employment_Type_Gig,Feature_Employment_Type_Unemployed,Feature_Education_Level_Some College,Feature_Age,Feature_Age_Group,Feature_Education_Level_Graduate
1,1,0.564987205057657,740,110044,0,0,1,1,175051,False,True,False,0,False,False,False,False,35,1,True
1,1,0.8263825143716079,827,164692,0,0,1,0,384775,False,False,False,0,False,False,False,False,75,0,False
0,0,0.34579007617202767,602,39831,0,0,0,0,330259,False,False,False,1,False,False,False,False,18,2,False
1,1,0.6496543840692871,796,48345,1,0,0,0,57178,False,False,False,0,False,False,False,True,20,2,False
1,0,0.48488109638760346,618,108734,0,0,1,0,84782,False,False,True,2,False,False,False,True,33,1,False
0,0,0.2528084567385156,563,25291,0,0,0,0,325520,True,False,False,0,False,False,False,False,64,0,False
0,1,0.6735249082405177,755,136306,4,0,0,0,171061,False,False,False,0,False,False,False,False,26,1,False
0,1,0.5380935384269219,617,103780,0,0,1,0,101655,False,True,False,0,False,False,False,False,30,1,True
0,0,0.24689404016182082,554,51253,0,0,0,0,257618,True,True,False,0,False,False,False,False,63,0,False
0,0,0.23715225122209796,514,29747,0,0,0,0,444731,False,False,False,0,False,False,False,True,61,0,False
1,0,0.32931457507720174,539,43526,2,0,1,0,75889,True,False,False,0,False,False,False,False,21,2,False
0,0,0.34702418565414084,682,25940,0,0,0,0,84765,False,True,True,0,False,False,False,True,42,1,False
0,0,0.23014192871541966,535,70237,3,0,0,0,61402,True,False,True,1,False,False,False,False,23,2,False
0,1,0.6391643603215948,727,99801,0,0,1,0,412910,False,False,False,0,False,False,False,True,76,0,False
0,1,0.7918386137253101,820,113527,0,0,1,0,204209,False,False,False,0,False,False,False,True,60,1,False
1,1,0.746688334219134,712,159496,0,0,0,0,57526,False,False,False,0,False,False,False,False,73,0,True
0,1,0.63432752987071,822,138850,0,0,0,0,256434,True,True,False,0,True,False,False,False,64,0,False
1,1,0.5911157472023104,766,76930,0,0,0,0,69317,False,False,False,1,False,True,False,False,23,2,False
0,1,0.5476409983834776,709,126644,2,0,0,0,265084,False,False,True,0,False,False,False,True,62,0,False
0,0,0.4109293585219043,643,91141,4,0,1,0,185101,False,False,True,0,False,False,False,False,64,0,True
1,1,0.5463156522670796,598,162175,3,0,0,0,286970,False,False,False,0,False,False,False,False,53,1,False
0,0,0.2369510012030631,510,71264,0,0,0,0,231479,False,True,False,2,False,False,False,False,43,1,False
0,1,0.5803628314967896,695,148965,3,0,1,0,445829,False,False,False,0,True,False,False,True,49,1,False
0,1,0.6332764825624427,796,169671,4,0,0,0,225555,False,True,False,2,False,False,False,True,71,0,False
1,1,0.5251064956542059,706,83365,2,0,0,0,250731,False,False,False,1,False,False,False,True,22,2,False
0,0,0.4526950885086919,635,74169,2,0,0,0,284216,False,False,False,0,False,False,False,True,22,2,False
0,0,0.48434404495030087,589,158302,0,0,1,0,92859,True,True,True,0,False,False,False,False,79,0,False
1,1,0.5281047525952438,598,131817,1,0,1,0,245568,True,False,False,0,False,False,False,False,65,0,False
0,1,0.6765726077535729,839,129787,0,0,0,0,204674,False,True,True,0,False,False,False,False,77,0,False
0,0,0.3179780566478965,601,58392,4,0,0,0,360066,False,False,False,0,False,False,False,True,35,1,False
1,0,0.4972823002535619,743,94355,3,0,1,1,342313,False,False,False,0,False,False,False,False,44,1,True
0,1,0.5870260022451178,725,95217,0,0,1,0,137276,True,True,False,0,False,False,False,False,56,1,False
0,0,0.17149630976462057,557,74447,4,0,0,1,407446,True,False,False,0,False,False,False,False,71,0,False
0,1,0.5428207254994082,741,51567,0,0,1,0,249354,False,True,False,0,False,False,False,True,56,1,False
0,0,0.3053762050878436,517,51826,4,0,1,0,170443,False,False,False,0,False,False,False,False,19,2,False
1,1,0.605939773855676,790,116140,0,0,0,0,389747,True,False,False,0,True,False,False,False,33,1,False
0,0,0.3553157263531517,581,111704,4,0,1,0,426934,False,True,False,0,False,False,False,False,57,1,False
1,1,0.7754792824999425,790,152380,0,0,1,0,424478,False,False,False,0,False,False,False,False,79,0,True
1,0,0.43571839908935467,548,138330,4,0,0,0,167922,False,False,False,0,False,False,False,True,79,0,False
0,0,0.13457022991055168,529,30013,4,0,0,0,326648,True,False,True,0,False,False,False,False,73,0,False
1,1,0.5180728815713044,753,42318,3,0,0,0,146667,False,False,False,0,False,False,False,True,32,1,False
0,1,0.6389278949393055,848,86536,0,0,0,0,369379,False,False,False,0,False,True,False,False,70,0,True
1,1,0.7095804067321478,834,92365,0,0,1,0,427520,False,False,False,1,False,False,False,False,40,1,False
1,0,0.46016041105036976,721,72729,0,0,0,0,307489,True,False,False,0,True,False,False,False,25,1,False
1,0,0.40846229102146114,548,85011,0,0,0,0,245421,False,False,False,0,False,False,False,False,39,1,True
0,0,0.3397140867534568,612,52569,0,0,0,0,329327,False,False,False,0,False,True,False,True,59,1,False
0,1,0.517084206771543,686,131177,0,0,0,0,342536,False,False,True,1,False,False,False,False,70,0,False
1,1,0.715185264750088,822,68061,0,0,1,0,186426,False,False,False,1,False,False,False,True,23,2,False
0,0,0.4495690950631511,780,27943,0,0,0,0,440159,False,False,False,0,True,False,False,False,34,1,False
