True_Label,Predicted_Label,Predicted_Probability,Feature_Credit_Score,Feature_Income,Feature_Race,Feature_Criminal_Record,Feature_Gender,Feature_Disability_Status,Feature_Loan_Amount,Feature_Education_Level_High School,Feature_Language_Proficiency_Limited,Feature_Employment_Type_Part-time,Feature_Citizenship_Status,Feature_Employment_Type_Self-employed,Feature_Employment_Type_Gig,Feature_Employment_Type_Unemployed,Feature_Education_Level_Some College,Feature_Age_Group,Feature_Age,Feature_Education_Level_Graduate
1,1,0.5650072916261266,740,110044,0,0,1,1,175051,False,True,False,0,False,False,False,False,1,35,True
1,1,0.8263678245352408,827,164692,0,0,1,0,384775,False,False,False,0,False,False,False,False,0,75,False
0,0,0.3458153731846505,602,39831,0,0,0,0,330259,False,False,False,1,False,False,False,False,2,18,False
1,1,0.6496746205450792,796,48345,1,0,0,0,57178,False,False,False,0,False,False,False,True,2,20,False
1,0,0.4849041415790555,618,108734,0,0,1,0,84782,False,False,True,2,False,False,False,True,1,33,False
0,0,0.2528038242537362,563,25291,0,0,0,0,325520,True,False,False,0,False,False,False,False,0,64,False
0,1,0.6735566787734134,755,136306,4,0,0,0,171061,False,False,False,0,False,False,False,False,1,26,False
0,1,0.5381224767434926,617,103780,0,0,1,0,101655,False,True,False,0,False,False,False,False,1,30,True
0,0,0.24689054506713445,554,51253,0,0,0,0,257618,True,True,False,0,False,False,False,False,0,63,False
0,0,0.23715193167238255,514,29747,0,0,0,0,444731,False,False,False,0,False,False,False,True,0,61,False
1,0,0.329333566275187,539,43526,2,0,1,0,75889,True,False,False,0,False,False,False,False,2,21,False
0,0,0.3470301501427569,682,25940,0,0,0,0,84765,False,True,True,0,False,False,False,True,1,42,False
0,0,0.230154568671666,535,70237,3,0,0,0,61402,True,False,True,1,False,False,False,False,2,23,False
0,1,0.6391389184708726,727,99801,0,0,1,0,412910,False,False,False,0,False,False,False,True,0,76,False
0,1,0.7918229197646452,820,113527,0,0,1,0,204209,False,False,False,0,False,False,False,True,1,60,False
1,1,0.7466715876141556,712,159496,0,0,0,0,57526,False,False,False,0,False,False,False,False,0,73,True
0,1,0.634320690903626,822,138850,0,0,0,0,256434,True,True,False,0,True,False,False,False,0,64,False
1,1,0.5911318355431129,766,76930,0,0,0,0,69317,False,False,False,1,False,True,False,False,2,23,False
0,1,0.5476371469338028,709,126644,2,0,0,0,265084,False,False,True,0,False,False,False,True,0,62,False
0,0,0.4109219991434872,643,91141,4,0,1,0,185101,False,False,True,0,False,False,False,False,0,64,True
1,1,0.5463063393554862,598,162175,3,0,0,0,286970,False,False,False,0,False,False,False,False,1,53,False
0,0,0.23695648346146048,510,71264,0,0,0,0,231479,False,True,False,2,False,False,False,False,1,43,False
0,1,0.5803594301472064,695,148965,3,0,1,0,445829,False,False,False,0,True,False,False,True,1,49,False
0,1,0.6332583386080333,796,169671,4,0,0,0,225555,False,True,False,2,False,False,False,True,0,71,False
1,1,0.525126441964467,706,83365,2,0,0,0,250731,False,False,False,1,False,False,False,True,2,22,False
0,0,0.4527152772482361,635,74169,2,0,0,0,284216,False,False,False,0,False,False,False,True,2,22,False
0,0,0.48431053966009835,589,158302,0,0,1,0,92859,True,True,True,0,False,False,False,False,0,79,False
1,1,0.5280967416865718,598,131817,1,0,1,0,245568,True,False,False,0,False,False,False,False,0,65,False
0,1,0.6765458751213616,839,129787,0,0,0,0,204674,False,True,True,0,False,False,False,False,0,77,False
0,0,0.3179962105643896,601,58392,4,0,0,0,360066,False,False,False,0,False,False,False,True,1,35,False
1,0,0.49728758314132687,743,94355,3,0,1,1,342313,False,False,False,0,False,False,False,False,1,44,True
0,1,0.5870096560129439,725,95217,0,0,1,0,137276,True,True,False,0,False,False,False,False,1,56,False
0,0,0.1714862910549753,557,74447,4,0,0,1,407446,True,False,False,0,False,False,False,False,0,71,False
0,1,0.5428037952738042,741,51567,0,0,1,0,249354,False,True,False,0,False,False,False,True,1,56,False
0,0,0.3053978360161904,517,51826,4,0,1,0,170443,False,False,False,0,False,False,False,False,2,19,False
1,1,0.6059629217536556,790,116140,0,0,0,0,389747,True,False,False,0,True,False,False,False,1,33,False
0,0,0.3553001985839955,581,111704,4,0,1,0,426934,False,True,False,0,False,False,False,False,1,57,False
1,1,0.7754568368542846,790,152380,0,0,1,0,424478,False,False,False,0,False,False,False,False,0,79,True
1,0,0.4356866058128929,548,138330,4,0,0,0,167922,False,False,False,0,False,False,False,True,0,79,False
0,0,0.13455972359842,529,30013,4,0,0,0,326648,True,False,True,0,False,False,False,False,0,73,False
1,1,0.518097525750962,753,42318,3,0,0,0,146667,False,False,False,0,False,False,False,True,1,32,False
0,1,0.6389109621054758,848,86536,0,0,0,0,369379,False,False,False,0,False,True,False,False,0,70,True
1,1,0.7095901737788449,834,92365,0,0,1,0,427520,False,False,False,1,False,False,False,False,1,40,False
1,0,0.4601980920887082,721,72729,0,0,0,0,307489,True,False,False,0,True,False,False,False,1,25,False
1,0,0.4084766389206212,548,85011,0,0,0,0,245421,False,False,False,0,False,False,False,False,1,39,True
0,0,0.33969443698509805,612,52569,0,0,0,0,329327,False,False,False,0,False,True,False,True,1,59,False
0,1,0.5170673892094724,686,131177,0,0,0,0,342536,False,False,True,1,False,False,False,False,0,70,False
1,1,0.7151992255661097,822,68061,0,0,1,0,186426,False,False,False,1,False,False,False,True,2,23,False
0,0,0.44959118155150213,780,27943,0,0,0,0,440159,False,False,False,0,True,False,False,False,1,34,False
0,1,0.6215774830721417,816,122642,3,0,1,0,106259,True,True,False,0,False,True,False,False,1,45,False
1,1,0.5395088186138396,637,155092,4,0,0,0,356742,False,False,False,0,False,False,False,False,1,50,False
0,1,0.5687311755688547,842,38924,4,0,0,0,193420,False,False,False,0,False,False,False,False,1,39,True
0,1,0.6842189861300416,737,127108,0,0,0,0,113892,True,False,False,0,False,False,False,False,1,47,False
1,0,0.38388740468205884,575,89974,4,0,1,0,80601,False,True,False,0,False,False,False,True,1,51,False
0,0,0.07551948797391086,544,58613,4,0,0,1,150485,True,False,False,1,False,False,True,False,0,81,False
1,1,0.7649480166189728,751,152209,0,0,1,0,129199,False,False,False,1,False,False,False,False,0,79,True
1,0,0.33818602878724363,580,126901,0,0,0,0,246995,True,True,True,0,False,False,False,False,0,70,False
1,0,0.46898125452619654,584,145083,4,0,0,0,339572,False,False,False,0,False,False,False,True,1,47,False
1,1,0.7365789267031508,813,140977,0,0,1,0,420482,False,False,False,0,False,True,False,True,0,77,False
0,1,0.5442930331251481,754,25488,0,0,0,0,173043,False,False,False,0,False,False,False,True,1,38,False
1,1,0.7471721371584109,769,168063,0,0,0,0,320604,True,False,False,0,False,False,False,False,1,38,False
0,0,0.4608856874867697,647,74699,0,0,0,0,391376,False,False,False,0,False,False,False,True,0,68,False
0,1,0.6758853541042288,699,154975,0,0,0,0,161427,True,False,False,0,False,False,False,False,0,67,False
0,0,0.25416825212097927,535,27129,0,0,0,0,440277,False,False,False,0,False,False,False,False,1,58,False
1,1,0.5647738078430362,836,50862,0,0,0,1,231873,False,False,False,0,False,False,False,True,1,52,False
1,1,0.7964160570270992,751,167994,0,0,1,0,330156,False,False,False,0,False,False,False,False,1,32,False
1,0,0.4727805195270896,665,167698,0,1,0,0,364472,False,True,False,0,False,False,False,False,2,23,False
0,0,0.40841372984492536,525,173806,4,0,0,0,294454,True,False,False,0,False,False,False,False,0,65,False
1,0,0.3442272655972098,652,71493,0,1,0,0,150146,False,False,False,0,False,False,False,False,0,82,True
1,0,0.45996224303163,548,101994,0,0,1,0,297544,False,False,False,0,False,False,False,False,0,77,True
